
### 패키지별 (전 dist · raw bytes)  총 1757417 bytes(매핑분)
### 청크 main-Co96bBQe.js (파일 69036B)  총 67703 bytes(매핑분)
   39415  58.2% node_modules/react-router/dist/development/chunk-62JRHF6Z.mjs
    6262   9.2% node_modules/@tanstack/query-core/build/modern/query.js
    4017   5.9% node_modules/@tanstack/query-core/build/modern/queryClient.js
    3387   5.0% ../../src/main.tsx
    3304   4.9% node_modules/@tanstack/query-core/build/modern/mutation.js
    3047   4.5% node_modules/@tanstack/query-core/build/modern/utils.js
    1419   2.1% node_modules/@tanstack/query-core/build/modern/mutationCache.js
    1217   1.8% node_modules/@tanstack/query-core/build/modern/infiniteQueryBehavior.js
    1192   1.8% node_modules/@tanstack/query-core/build/modern/retryer.js
    1005   1.5% node_modules/@tanstack/query-core/build/modern/queryCache.js
     695   1.0% node_modules/@tanstack/query-core/build/modern/focusManager.js
     616   0.9% node_modules/@tanstack/query-core/build/modern/onlineManager.js
     399   0.6% node_modules/@tanstack/query-core/build/modern/timeoutManager.js
     377   0.6% node_modules/@tanstack/query-core/build/modern/notifyManager.js
     321   0.5% node_modules/@tanstack/query-core/build/modern/removable.js
     282   0.4% node_modules/@tanstack/react-query/build/modern/QueryClientProvider.js
     281   0.4% node_modules/@tanstack/query-core/build/modern/subscribable.js
     267   0.4% node_modules/@tanstack/query-core/build/modern/thenable.js
     120   0.2% ../../src/lib/queryClient.ts
      80   0.1% node_modules/@tanstack/query-core/build/modern/environmentManager.js

### 청크 Today-kLms-WYG.js (파일 69157B)  총 67358 bytes(매핑분)
   15462  23.0% ../../src/features/today/TodaySignature.tsx
   11692  17.4% ../../src/features/today/TodayBlocks.tsx
   11334  16.8% ../../src/features/today/Today.tsx
    6834  10.1% ../../src/features/today/signatureParts.tsx
    5265   7.8% ../../src/features/today/SetupGuide.tsx
    4519   6.7% ../../src/features/today/FlowRail.tsx
    3640   5.4% ../../src/features/today/RetrievalSlot.tsx
    2131   3.2% ../../src/features/today/DayBar.tsx
    1950   2.9% ../../src/features/today/BeyondStrip.tsx
    1901   2.8% ../../src/features/today/ReturnSlot.tsx
     937   1.4% ../../src/features/today/ResumeChip.tsx
     487   0.7% ../../src/lib/todayShare.ts
     455   0.7% ../../src/features/today/consts.ts
     324   0.5% ../../src/lib/todaySlots.ts
     278   0.4% ../../src/hooks/useCommitOnChange.ts
     149   0.2% ../../src/lib/dayPhase.ts

### 청크 Schedule-B11nwXib.js (파일 74148B)  총 72622 bytes(매핑분)
   15103  20.8% ../../src/features/schedule/DayPlanner.tsx
   13018  17.9% ../../src/features/schedule/DayPlannerCards.tsx
   12678  17.5% ../../src/features/schedule/Schedule.tsx
   12001  16.5% ../../src/features/schedule/WeekCalendar.tsx
    6063   8.3% ../../src/features/schedule/DayPlannerTrayAdder.tsx
    4866   6.7% ../../src/features/schedule/CutCard.tsx
    4585   6.3% ../../src/features/schedule/MonthCalendar.tsx
    2316   3.2% ../../src/features/schedule/DayPlannerEditBar.tsx
     847   1.2% ../../src/features/schedule/useTrayCursor.ts
     705   1.0% ../../src/features/schedule/useTimeboxDnd.ts
     363   0.5% ../../src/lib/dayPlanGeometry.ts
      77   0.1% ../../src/features/schedule/dayPlannerShared.ts

### 청크 PhoneApp-OJ3kgi27.js (파일 35321B)  총 34114 bytes(매핑분)
   11632  34.1% ../../src/phone/ReviewView.tsx
    5385  15.8% ../../src/phone/PhoneApp.tsx
    4474  13.1% ../../src/phone/TodayView.tsx
    4367  12.8% ../../src/phone/DayView.tsx
    2419   7.1% ../../src/phone/ConflictsView.tsx
    2262   6.6% ../../src/phone/CaptureBar.tsx
    1394   4.1% ../../src/hooks/useSwipe.ts
    1179   3.5% ../../src/phone/WeekView.tsx
    1002   2.9% ../../src/phone/ExportBackup.tsx

### 청크 selectors-BDU-b6jo.js (파일 45376B)  총 44648 bytes(매핑분)
    8048  18.0% ../../src/lib/scheduler/engine.ts
    6327  14.2% ../../src/lib/spacedReview.ts
    3132   7.0% ../../src/store/selectors.ts
    2736   6.1% ../../src/lib/insights.ts
    2637   5.9% ../../src/lib/weekAlloc.ts
    2220   5.0% ../../src/lib/semester.ts
    2073   4.6% ../../src/lib/visits.ts
    1948   4.4% ../../src/lib/tasks.ts
    1939   4.3% ../../src/lib/scheduler/windows.ts
    1845   4.1% ../../src/lib/scheduler/layout.ts
    1753   3.9% ../../src/lib/focusState.ts
    1567   3.5% ../../src/lib/uiState.ts
    1312   2.9% ../../src/lib/scheduler/dayPlanOverride.ts
    1208   2.7% ../../src/lib/events.ts
    1169   2.6% ../../src/lib/scheduler/priority.ts
    1076   2.4% ../../src/lib/questions.ts
     915   2.0% ../../src/store/useUI.ts
     880   2.0% ../../src/lib/chapterStrength.ts
     561   1.3% ../../src/lib/vaultAnchors.ts
     546   1.2% ../../src/lib/subjectMatch.ts
